_id,sense_id,lemma,stem,definition,example,translation,pos_label
f408369f-705f-42a2-b08c-b907ee731b3e,65770a8a56b2bd91120f7f5f,مُجْتَمِع,"[""ج م ع""]",مُنْضَمٌ بعضه إلى بعض.,هذه المهن (مُجْتَمِع) قدرتها على البناء والتشطيب محدودة جدا بالنسبة للاحتياجات.,society,صفة فاعل
421e33e5-4d2d-4eee-a80b-20c6e2e80ad9,657711a856b2bd911210705b,قِسْط,"[""ق س ط""]",حِصَّة، نصيب‏.,أشار إدوارد سعيد إلى أن النصوص (قسط) من العالم الاجتماعي والحياة البشرية,Share,اسم ذات
848ebfb4-f2b1-4afb-bc6b-61cf051bd4e7,657713c356b2bd911210b5ae,مُنْتَظِر,"[""ن ظ ر""]",مُترقِّب.,فَانتَظِرُوا إِنِّي مَعَكُم مِّنَ (الْمُنتَظِرِينَ),waiting,صفة فاعل
daf031d2-e046-42c2-a0f8-65704ef9828d,6577103256b2bd9112104267,مُتَعَلِّم,"[""ع ل م""]",مهتم بالعلم مطلع عليه.,وما ( المتعلمون ) من الملكين هاروت وماروت ما يفرقون به بين المرء وزوجه بـ ضارين - بالذي تعلموه منهما,Educated,صفة فاعل
06451d16-e68a-43d2-9fe3-316a19b941a8,657710d156b2bd91121053fa,غُمُوض,"[""غ م ض""]",إبهام‏.,وفي جانب آخر تنطوي الدوائر الخرافية في القارة الأفريقية على الكثير من ( الغموض ),Mystery,اسم معنى
6fb46778-7531-42ec-809c-4996fb9350ea,65770b2f56b2bd91120f9930,حُكْم,"[""ح ك م""]",إدارة، وسلطة‏.,وَلَمَّا بَلَغَ أَشُدَّهُ وَاسْتَوَى آَتَيْنَاهُ (حُكْمًا) وَعِلْمًا وَكَذَلِكَ نَجْزِي الْمُحْسِنِينَ,authority,اسم معنى
ca6aa877-71f9-46c0-b1d5-3a61ad7e5b9c,6577111256b2bd9112105c81,فَرِيضَة,"[""ف ر ض""]",حِصّة مفروضة.,لاَّ جُنَاحَ عَلَيْكُمْ إِن طَلَّقْتُمُ النِّسَاء مَا لَمْ تَمَسُّوهُنُّ أَوْ تَفْرِضُواْ لَهُنَّ (فَرِيضَةً),Statutory portion,اسم معنى
8eead06d-1369-4af6-95d7-261d20f64a54,65770e5256b2bd91120fff53,شُرْب,"[""ش ر ب""]",تناوُل سائل بالفم وإدخاله إلى الجوف.,{ثُمَّ إِنَّكُمْ أَيُّهَا الضَّالُّونَ الْمُكَذِّبُونَ ، لَآكِلُونَ مِنْ شَجَرٍ مِنْ زَقُّومٍ ، فَمَالِئُونَ مِنْهَا الْبُطُونَ ، فَشَارِبُونَ عَلَيْهِ مِنَ الْحَمِيمِ ، فَشَارِبُونَ (شُرْبَ) الْهِيمِ},Drinking,اسم معنى
e164dcd0-7e89-462d-b1eb-c058ae79120d,65770d1f56b2bd91120fd97f,تَرْمِيم,"[""ر م م""]",إصلاح، وتجديد‏.,هي محتاجة إلى (ترميم) مادي وتلقيح أدبي,repair,اسم معنى
a5d39df3-7703-451d-883d-ab1b76be17b4,65770ab256b2bd91120f867d,جَوْف,"[""ج و ف""]",داخل الشيء وباطنه الذي يقبل الشَّغْل والفراغ .,ثم رأيت فكري يقول في رنة أسف وألم وتحد : أنت يا هذا الدود تأكلني وتمزق أوصالي وتغيبني في (جوفك) ثم تفنى أنت أيضاً !,inside,اسم ذات
f15265cb-a8f0-4f0f-b1d4-0fa63cc147b0,6577115f56b2bd911210666c,تَفْوِيض,"[""ف و ض""]",توكيل، وتخويل‏.,عَلَيكَ اِتِّكالي إِلَهَ الوَرى/	(وَتَفويضُ) كُلِّ أُموري إِلَيكَ,authorizing,اسم معنى
ea13e7bc-7078-45a8-93d7-9452bfbf96f1,65770a2a56b2bd91120f6fe1,تَتْوِيج,"[""ت و ج""]",تنصيب الشخص ملكًا على عرش مملكة ما.,(تتويج) ملكٍ جليل أصيدٍ ورعٍ	/قد فاق بالمجد والعلياء كيوانا,crowning,اسم معنى
7da00d7a-261f-4979-99b9-ef975c32884b,6577123156b2bd9112107f65,كَبِد,"[""ك ب د""]",وسط الشيء ومعظمه.,فاحملوا النعش وشقوا بالرياح/(كبد) الليل إلى قبر الأبد,Middle,اسم ذات
2edd91e1-2baa-4f39-abbd-7f7afda2fef5,65770f6256b2bd91121024da,طَرَف,"[""ط ر ف""]",فرد أو جماعة.,أدى كل (طَرَف) دوره على أكمل وجه ،وعملنا معا نحو تحقيق هدف واحد,on hthe part of,اسم ذات
a3009a68-988a-4d30-90aa-24429806a0dd,65770ae756b2bd91120f8f16,حِرْص,"[""ح ر ص""]",إمساك، تقتير، تضييق في النفقة.,إن عين (الحرص) لم تقتنع وإن / سادت الأكوان من إنس وجن,stinginess,اسم معنى
d6d40465-7eb7-47e7-8642-f94490a4ca00,65770dff56b2bd91120ff432,سُمّ,"[""س م م""]",مادة تعطل أعمال الجسم الحيوية إذا دخلته.,سعت ذات سم في قميصي فغادرت/ به أثراً والله شاف من (السم)...,poison,اسم ذات
de2889ba-34f9-400d-bab8-5fad3092f1ab,65770cea56b2bd91120fd2d9,رُعْب,"[""ر ع ب""]",خوف‏.,أعطيت خمسا لم يعطهن أحد قبلي : نصرت (بالرعب) مسيرة شهر وجعلت لي الأرض مسجدا وطهورا,fright,اسم معنى
7d522970-753d-4a35-a807-4c36b7180360,6577101756b2bd9112103e8b,عَقِب,"[""ع ق ب""]",ذرية‏، وخَلَف.,وَإِذْ قَالَ إِبْرَاهِيمُ لِأَبِيهِ وَقَوْمِهِ إِنَّنِي بَرَاءٌ مِمَّا تَعْبُدُونَ ، إِلَّا الَّذِي فَطَرَنِي فَإِنَّهُ سَيَهْدِينِ ، وَجَعَلَهَا كَلِمَةً بَاقِيَةً فِي (عَقِبِهِ) لَعَلَّهُمْ يَرْجِعُونَ,Children,اسم معنى
e31115ff-ed08-4536-a880-633f5853e51b,6577148356b2bd911210d3ba,سَعَة,"[""و س ع""]",كثرة ووفرة وغنى.,قَالُوۤا۟ أَنَّىٰ یَكُونُ لَهُ ٱلۡمُلۡكُ عَلَیۡنَا وَنَحۡنُ أَحَقُّ بِٱلۡمُلۡكِ مِنۡهُ وَلَمۡ یُؤۡتَ (سَعَة) مِّنَ ٱلۡمَالِۚ...,Luxury,اسم معنى
98ce5668-1e20-4d2a-971c-7802003fdee4,65770b7956b2bd91120fa30c,تَحِيَّة,"[""ح ي ي""]",تسليم، سلام‏.,أهدى الأمير إليك خير (تحية) / من خير بسام أغر بشوش,greetings,اسم معنى
3d602476-9a21-4250-a8d9-5f568d5a26fe,657709cf56b2bd91120f624e,بَشَر,"[""ب ش ر""]",جِنْس الإنسان.,أعددت لعبادي الصالحين ما لا عين رأت ولا أذن سمعت ولا خطر على قلب (بشر),humans,اسم جنس
8880dd5d-96dc-4b92-b723-9da904001068,6577147156b2bd911210d0bf,دِيَة,"[""و د ي""]",ما يعطى ولي القتيل حال الجناية على النفس ,وَمَا كَانَ لِمُؤْمِنٍ أَنْ يَقْتُلَ مُؤْمِنًا إِلَّا خَطَأً وَمَنْ قَتَلَ مُؤْمِنًا خَطَأً فَتَحْرِيرُ رَقَبَةٍ مُؤْمِنَةٍ وَ(دِيَةٌ) مُسَلَّمَةٌ,Blood money,اسم ذات
05e6b437-f7ee-43b3-b7b0-e3478e672b0b,65770b5556b2bd91120f9dfe,تَحَمُّل,"[""ح م ل""]",تولي المسئولية.,يصعب على المربي (تحمل) هذا الجانب من الأزمة لأنه مطالب بإقامة الروابط بين القديم والجديد,take responsibility,اسم معنى
19816b5f-7b40-4145-9ca0-446aa25475ff,65770c1956b2bd91120fb964,دَعْم,"[""د ع م""]",تقوية، وتثبيت.,أيْ حبيبـي لا تدنّـي / منه خذ (دعماً) وحِمْـلا,consolidation,اسم معنى
b56b9f5e-7e61-4716-8b46-d83cb5903d06,6577113756b2bd9112106164,فِطْرَة,"[""ف ط ر""]",خِلْقَة، صفة الإنسان الطبيعية.,(الفطرة) خمس : الاختتان والاستحداد وقص الشارب وتقليم الأظفار ونتف الإبط,Nature,اسم معنى
49f697dd-48a4-4b5a-ba59-28f9bd605d07,65770a5056b2bd91120f7620,جِدّ,"[""ج د د""]",رصانة، عكس هَزْل‏.,السيف أصدق إنباءً من الكتبِ في حَدِّهِ الحد بين (الجدِّ) واللعبِ,seriousness,اسم معنى
62d09f29-2055-453a-8d37-f0d8b3c87ddf,65770f1b56b2bd9112101a71,صَيْف,"[""ص ي ف""]",ثالث فصول السنة، يأتي بعد الربيع ويليه الخريف، وفيه ترتفع درجات الحرارة.,{لِإِيلَافِ قُرَيْشٍ ،إِيلَافِهِمْ رِحْلَةَ الشِّتَاءِ وَ(الصَّيْفِ) ،فَلْيَعْبُدُوا رَبَّ هَٰذَا الْبَيْتِ،الَّذِي أَطْعَمَهُم مِّن جُوعٍ وَآمَنَهُم مِّنْ خَوْفٍ},Summer,اسم ذات
02c6b030-b0cc-4735-8449-c9625c9c03ad,657714a256b2bd911210d86d,وَعْد,"[""و ع د""]",التزام باحترام عَهد والتقيُّد به.,حاشا (لوعدك) أن يلويه نسيان / وحسن وجهك أن يعدوه إحسان,promise,اسم معنى
b02d045f-54df-4dfd-9faa-fed58075d575,65770acf56b2bd91120f8b7a,مُتَحَدِّث,"[""ح د ث""]",من يتحدث باسم جهة معينة.,ثغر الفلا من نوره متبسّم/وفم الزمان بفضله (متحدّث),spokesperson,صفة فاعل
9c1ec12a-da45-446c-8a5e-626c8279d98e,65770fcb56b2bd91121033da,تَعْذِيب,"[""ع ذ ب""]",معاقبة وتنكيل.,هيهات يصحو أو يفيق من الهوى / مستعذب البرحاء في (تعذيبه),torturing,اسم معنى
ab712c0a-0d4f-4012-a35a-9bbefa0239ab,6577112556b2bd9112105f0d,مُفَسِّر,"[""ف س ر""]",موضِّح، وشارِح.,إن شخصية (المُفَسِّر) بأبعادها الثقافية، واشتغالاتها العلمية، تحدد إلى حد كبير لون التفسير وطبيعته.,Explainer,صفة فاعل
235273c0-19a9-4159-9952-82ba9d5a641c,65770c7956b2bd91120fc7b4,رَأْي,"[""ر ء ي""]",إبصار، ومشاهدة.,{قَدْ كَانَ لَكُمْ آيَةٌ فِي فِئَتَيْنِ الْتَقَتَا ۖ فِئَةٌ تُقَاتِلُ فِي سَبِيلِ اللَّهِ وَأُخْرَىٰ كَافِرَةٌ يَرَوْنَهُم مِّثْلَيْهِمْ (رَأْيَ) الْعَيْنْ},see,اسم معنى
215ba980-9a84-4731-adcf-fbb2662c3185,65770bdb56b2bd91120fb08c,مُخْتَلِف,"[""خ ل ف""]",متنوِّع، ومتعدِّد‏.,كل له سعيه والسعي (مختلف)/وكل نفس لها في سعيها شاء,various,صفة فاعل
